7.515269534034395065e+02 2.283440457300000000e+10 7.200000000000000000e+01 3.171445079583333135e+08
7.515269537034395171e+02 2.233548585200000000e+10 7.000000000000000000e+01 3.190783693142856956e+08
7.515269540034395277e+02 1.862715130000000000e+10 5.900000000000000000e+01 3.157144288135592937e+08
7.515269543034395383e+02 2.176053690100000000e+10 6.900000000000000000e+01 3.153701000144927502e+08
7.515269546034395489e+02 2.252647316600000000e+10 7.100000000000000000e+01 3.172742699436619878e+08
7.515269549034395595e+02 2.548777160200000000e+10 8.100000000000000000e+01 3.146638469382715821e+08
7.515269552034395701e+02 2.631324332700000000e+10 8.400000000000000000e+01 3.132528967500000000e+08
7.515269555034395808e+02 2.151763126600000000e+10 6.800000000000000000e+01 3.164357539117646813e+08
7.515269558034395914e+02 2.460453689800000000e+10 7.800000000000000000e+01 3.154427807435897589e+08
7.515269561034396020e+02 2.299960068300000000e+10 7.200000000000000000e+01 3.194388983750000000e+08
7.515269564034396126e+02 2.612514392500000000e+10 8.300000000000000000e+01 3.147607701807228923e+08
7.515269567034396232e+02 2.459582869000000000e+10 7.800000000000000000e+01 3.153311370512820482e+08
7.515269570034396338e+02 1.941749398800000000e+10 6.200000000000000000e+01 3.131853869032257795e+08
7.515269573034396444e+02 2.161044968400000000e+10 6.900000000000000000e+01 3.131949229565217495e+08
7.515269576034396550e+02 2.456236939900000000e+10 7.800000000000000000e+01 3.149021717820512652e+08
7.515269579034396656e+02 2.057395358600000000e+10 6.600000000000000000e+01 3.117265694848484993e+08
7.515269582034396763e+02 2.513583712800000000e+10 8.100000000000000000e+01 3.103189768888888955e+08
7.515269585034396869e+02 2.334633159200000000e+10 7.500000000000000000e+01 3.112844212266666889e+08
7.515269588034396975e+02 2.266853242200000000e+10 7.200000000000000000e+01 3.148407280833333135e+08
7.515269591034397081e+02 2.006794609700000000e+10 6.400000000000000000e+01 3.135616577656250000e+08
7.515269594034397187e+02 1.779275983200000000e+10 5.700000000000000000e+01 3.121536812631579041e+08
7.515269597034397293e+02 1.564307057800000000e+10 5.000000000000000000e+01 3.128614115600000024e+08
7.515269600034397399e+02 1.620439900100000000e+10 5.200000000000000000e+01 3.116230577115384340e+08
7.515269603034397505e+02 2.112216946300000000e+10 6.800000000000000000e+01 3.106201391617646813e+08
7.515269606034397611e+02 1.023710718800000000e+10 3.300000000000000000e+01 3.102153693333333135e+08
7.515269609034397718e+02 1.306127888600000000e+10 4.200000000000000000e+01 3.109828306190476418e+08
7.515269612034397824e+02 1.174539845800000000e+10 3.800000000000000000e+01 3.090894331052631736e+08
7.515269615034397930e+02 8.654351708000000000e+09 2.800000000000000000e+01 3.090839895714285970e+08
7.515269618034398036e+02 8.684018677000000000e+09 2.800000000000000000e+01 3.101435241785714030e+08
7.515269621034398142e+02 1.166121544500000000e+10 3.800000000000000000e+01 3.068740906578947306e+08
7.515269624034398248e+02 6.581733915000000000e+09 2.100000000000000000e+01 3.134159007142857313e+08
7.515269627034398354e+02 8.358280602000000000e+09 2.700000000000000000e+01 3.095659482222222090e+08
7.515269630034398460e+02 4.932078349000000000e+09 1.600000000000000000e+01 3.082548968125000000e+08
7.515269633034398566e+02 4.922461949000000000e+09 1.600000000000000000e+01 3.076538718125000000e+08
7.515269636034398673e+02 2.505206954000000000e+09 8.000000000000000000e+00 3.131508692500000000e+08
7.515269639034398779e+02 3.057894090000000000e+08 1.000000000000000000e+00 3.057894090000000000e+08
7.515269642034398885e+02 2.154244274000000000e+09 7.000000000000000000e+00 3.077491820000000000e+08
7.515269645034398991e+02 2.762987706000000000e+09 9.000000000000000000e+00 3.069986340000000000e+08
7.515269648034399097e+02 1.851951520000000000e+09 6.000000000000000000e+00 3.086585866666666865e+08
7.515269651034399203e+02 9.195232930000000000e+08 3.000000000000000000e+00 3.065077643333333135e+08
7.515269654034399309e+02 1.554334219000000000e+09 5.000000000000000000e+00 3.108668438000000119e+08
7.515269657034399415e+02 6.221086480000000000e+08 2.000000000000000000e+00 3.110543240000000000e+08
7.515269660034399521e+02 9.300208250000000000e+08 3.000000000000000000e+00 3.100069416666666865e+08
7.515269663034399628e+02 1.249163307000000000e+09 4.000000000000000000e+00 3.122908267500000000e+08
7.515269666034399734e+02 3.027026150000000000e+08 1.000000000000000000e+00 3.027026150000000000e+08
7.515269669034399840e+02 2.973069990000000000e+08 1.000000000000000000e+00 2.973069990000000000e+08
